Section EN,Section FR,Question EN,Question FR,Answer EN,Answer FR
"Spatial boundaries, mapping & exports","Limites spatiales, cartographie & exports","What options exist for exporting map images, and how can I include area names/labels in exported maps? ","Quelles options existent pour exporter des images de cartes, et comment puis-je inclure les noms/étiquettes de zones dans les cartes exportées ?","Maps or diagrams created in Observable can be exported using the built-in Download PNG/SVG options or by right-clicking on the rendered visualization, depending on the notebook’s configuration. If you would like for labels or place names to appear in your exported image, make sure to click on your area of interest before exporting; otherwise, you can add a label layer in your forked notebook before exporting. As a tip: If you click on a figure, you will be able to take a screenshot of the tooltip. Note that exported maps preserve styling exactly as displayed on the screen. ","Les cartes ou diagrammes créés dans Observable peuvent être exportés via les options intégrées Download PNG/SVG ou en effectuant un clic droit sur la visualisation rendue, selon la configuration du notebook. Si vous souhaitez que des étiquettes ou noms de lieux apparaissent dans l’image exportée, assurez-vous de cliquer d’abord sur votre zone d’intérêt ; sinon, vous pouvez ajouter une couche d’étiquettes dans votre notebook forké avant l’export. Astuce : en cliquant sur une figure, vous pouvez aussi capturer une capture d’écran du tooltip. Les cartes exportées conservent exactement le style affiché à l’écran."
"Spatial boundaries, mapping & exports","Limites spatiales, cartographie & exports",Is there a built-in way to reset the map view or restore the default layer/legend state in the notebooks? ,Existe-t-il un moyen intégré de réinitialiser la vue cartographique ou de restaurer l’état par défaut de la couche/légende dans les notebooks ?,"Some Atlas notebooks include UI controls, such as reset buttons, default dropdown values, or reactive map initialization, that return the view to its default extent and layer settings. These features might be extended to other notebooks in future update rounds. If the notebook does not include a reset control, refreshing the page or using your fork to add a simple “Reset view” button (which reassigns the default state variables) will restore the original configuration. ","Certains notebooks de l’Atlas incluent des contrôles d’interface, tels que des boutons de réinitialisation, des valeurs par défaut dans les menus déroulants ou une initialisation réactive de la carte, permettant de revenir aux paramètres d’étendue ou de couches par défaut. Ces fonctionnalités pourraient être étendues à d’autres notebooks dans de futures mises à jour. Si le notebook ne dispose pas d’un contrôle de réinitialisation, recharger la page ou ajouter dans votre fork un bouton “Reset view” (qui réassigne les variables d’état par défaut) restaurera la configuration initiale."
"Analysis, indices & interpretation","Analyse, indices & interprétation","How should users interpret the Atlas hazard scenarios (e.g., SSP / time horizon labels) and where are short in-tool explanations or methods provided? ",Comment les utilisateurs doivent-ils interpréter les scénarios d’aléas de l’Atlas (p. ex. étiquettes SSP / horizons temporels) et où trouver des explications rapides ou des méthodes dans l’outil ?,"Hazard scenarios in the Atlas follow standard climate-model conventions—typically combining an emissions pathway (e.g., an SSP) with a specific future period (e.g., mid-century or end-century). These labels indicate which climate forcing assumptions and averaging windows were used in the projections. Each hazard-related notebook includes brief explanations directly in the interface—usually near scenario selectors or in the “Methods & Sources” section—summarizing how the scenarios were generated and how to interpret them. It might also be useful to check out the Atlas Glossary (add link) for guidance on selected terms and acronyms. ","Les scénarios d’aléas de l’Atlas suivent les conventions standard des modèles climatiques, combinant généralement une trajectoire d’émissions (p. ex. un SSP) avec une période future spécifique (p. ex. milieu ou fin de siècle). Ces étiquettes indiquent quelles hypothèses de forçage climatique et quelles fenêtres temporelles ont été utilisées pour les projections. Chaque notebook lié aux aléas inclut de courtes explications dans l’interface — généralement près des sélecteurs de scénario ou dans la section Methods & Sources — résumant la génération et l’interprétation des scénarios. Le Atlas Glossary (add link) peut également être utile pour rechercher certains termes et acronymes."
"Analysis, indices & interpretation","Analyse, indices & interprétation","What assumptions underpin the Atlas adaptive capacity and vulnerability layers, and where are those methods documented?  ","Quelles hypothèses sont derrière les couches de capacité d’adaptation et de vulnérabilité de l’Atlas, et où ces méthodes sont-elles documentées ?","Adaptive capacity and vulnerability layers are built from socioeconomic, biophysical, and agricultural indicators that are normalized and combined using transparent scoring or aggregation rules. Underlying assumptions—such as which indicators are included, how they are weighted, and how values are standardized—are described in the notebooks’ Methods & Sources section. In addition, the Atlas Glossary (add link) is a valuable resource to look up key definitions and explanations. ","Les couches de capacité d’adaptation et de vulnérabilité sont construites à partir d’indicateurs socio-économiques, biophysiques et agricoles qui sont normalisés et combinés selon des règles transparentes de pondération ou d’agrégation. Les hypothèses sous-jacentes — tels que les indicateurs inclus, leur pondération et la méthode de normalisation — sont décrites dans la section Methods & Sources des notebooks. De plus, le Atlas Glossary (add link) est une ressource utile pour consulter les définitions clés."
"Analysis, indices & interpretation","Analyse, indices & interprétation",How can I obtain or reproduce the economic/benefit-cost calculations used in the Estimate Economic Returns on Adaptation notebook? ,Comment puis-je obtenir ou reproduire les calculs économiques/analyse bénéfice-coût utilisés dans le notebook Estimate Economic Returns on Adaptation ?,"You can reproduce these calculations by forking the relevant Observable notebook, which contains both the formulas and the underlying data used in each step of the benefit-cost analysis. Many notebooks include downloadable input data (e.g., costs, yield effects, adoption assumptions) as attachments. For complete reproducibility, including preprocessing code and valuation methods, the linked GitHub repositories provide the scripts and documentation required to replicate or adapt the computations in your own workflow. ","Vous pouvez reproduire ces calculs en forkant le notebook Observable correspondant, qui contient à la fois les formules et les données utilisées dans chaque étape de l’analyse bénéfice-coût. De nombreux notebooks incluent des données d’entrée téléchargeables (p. ex. coûts, effets de rendement, hypothèses d’adoption) sous forme de pièces jointes. Pour une reproductibilité complète, incluant le code de prétraitement et les méthodes de valorisation, les dépôts GitHub associés fournissent les scripts et la documentation nécessaires pour répliquer ou adapter les calculs dans votre propre flux de travail."
Platform features & integration,Fonctionnalités de la plateforme & intégration,Does the Atlas provide an API or STAC endpoint for programmatic access and bulk downloads? ,L’Atlas fournit-il une API ou un point d’accès STAC pour l’accès programmatique et les téléchargements en masse ?,"Yes. The Atlas publishes its datasets through a SpatioTemporal Asset Catalog (STAC), which functions as an API for querying, filtering, and downloading layers programmatically. Users can script bulk downloads using common STAC-compatible libraries or command-line tools. The STAC catalog includes metadata, asset links, and version information for each dataset, making it suitable for automated workflows. ","Oui. L’Atlas publie ses jeux de données via un SpatioTemporal Asset Catalog (STAC), qui fonctionne comme une API permettant d’interroger, filtrer et télécharger les couches de manière programmatique. Les utilisateurs peuvent automatiser les téléchargements en masse via des bibliothèques compatibles STAC ou des outils en ligne de commande. Le catalogue STAC inclut des métadonnées, des liens vers les ressources et les informations de version des jeux de données, ce qui le rend adapté aux flux de travail automatisés."
Platform features & integration,Fonctionnalités de la plateforme & intégration,"Can Atlas datasets be integrated with external systems (WMS, national EWS, or dashboards) and are there guidance/examples for integrations? ","Les jeux de données de l’Atlas peuvent-ils être intégrés à des systèmes externes (WMS, systèmes d’alerte nationaux, tableaux de bord), et existe-t-il des orientations/exemples d’intégration ?","Atlas data can be integrated into other systems by pulling assets from the STAC catalog or using the downloadable GeoTIFF/GeoJSON files in any GIS, WMS, early-warning platform, or custom dashboard. While the Atlas does not provide full step-by-step integration manuals, the Observable notebooks and GitHub code offer examples of how data is loaded, processed, and visualized. ","Les données de l’Atlas peuvent être intégrées dans d’autres systèmes en récupérant les ressources depuis le catalogue STAC ou en utilisant les fichiers GeoTIFF/GeoJSON téléchargeables dans n’importe quel SIG, WMS, plateforme d’alerte précoce ou tableau de bord personnalisé. Bien que l’Atlas ne fournisse pas de guides d’intégration détaillés, les notebooks Observable et le code GitHub offrent des exemples de chargement, traitement et visualisation des données."
"Low connectivity, offline & bug fixes","Faible connectivité, mode hors-ligne & corrections de bugs",What are the recommended workflows or notebook export options for users who need lightweight or offline copies for field use? ,Quelles sont les démarches recommandées ou options d’export de notebooks pour les utilisateurs ayant besoin de copies légères ou hors-ligne pour une utilisation sur le terrain ?,"Unfortunately, we are currently unable to provide a perfect solution here. We recommend either pre-loading the respective notebooks before heading out to the field (make sure to change the SQL datasets from “Create View” to “Create Table”) or printing the pages you need handy with different options selected. We are, however, currently working on making other options, such as offline HTML versions, more easily available. Keep an eye out for future updates. ","Malheureusement, nous ne sommes actuellement pas en mesure de fournir une solution parfaite. Nous recommandons soit de précharger les notebooks concernés avant de partir sur le terrain (veillez à changer les jeux de données SQL de “Create View” à “Create Table”), soit d’imprimer les pages nécessaires avec vos options sélectionnées. Nous travaillons également à rendre d’autres solutions, comme des versions HTML hors-ligne, plus facilement disponibles. Restez à l’affût des prochaines mises à jour."
"Low connectivity, offline & bug fixes","Faible connectivité, mode hors-ligne & corrections de bugs",Where can I report bugs I’m experiencing in the notebooks or Atlas interface? ,Où puis-je signaler les bugs rencontrés dans les notebooks ou l’interface de l’Atlas ?,"Bugs can be reported through the Atlas’s Get In Touch page (add link), where issues can be logged for specific notebooks or GitHub-related problems. If the issue relates to the website or user interface rather than code, you can always get in touch by sending the Atlas team an email (add link).  ","Les bugs peuvent être signalés via la page Get In Touch de l’Atlas (add link), où les problèmes liés à des notebooks ou à GitHub peuvent être déclarés. Si le problème concerne plutôt le site web ou l’interface utilisateur, vous pouvez également contacter l’équipe de l’Atlas par email (add link)."
User support & training,Support utilisateur & formation,"Where can I find onboarding materials, short tutorial videos, and a glossary to help non-technical users get started? ","Où puis-je trouver des supports d’onboarding, de courtes vidéos tutorielles et un glossaire pour aider les utilisateurs non techniques à débuter ?","The Atlas website provides onboarding materials, explainer videos, a full glossary and FAQ section in its new Learning Hub (add link). Here, you can find out how to get started using the Atlas, how to use its functionalities, and access more information and guidance on key terms and definitions.  ","Le site de l’Atlas propose des supports d’onboarding, des vidéos explicatives, ainsi qu’un glossaire complet et une FAQ dans son nouveau Learning Hub (add link). Vous y trouverez comment commencer à utiliser l’Atlas, comment exploiter ses fonctionnalités, ainsi que des informations et définitions clés."
User support & training,Support utilisateur & formation,"How do I submit new datasets, suggest corrections, or request that a national dataset be integrated or featured? ","Comment puis-je soumettre de nouveaux jeux de données, suggérer des corrections ou demander qu’un jeu de données national soit intégré ou mis en avant ?","Users can propose new datasets or corrections through the Atlas’s GitHub issue tracker or by contacting the team (add link). Submissions are reviewed to ensure they meet quality, documentation, and licensing requirements. When datasets are proposed for integration, providing metadata, licensing terms, and a clear use case helps the team evaluate whether they can be incorporated into future releases. ","Les utilisateurs peuvent proposer de nouveaux jeux de données ou des corrections via l’issue tracker GitHub de l’Atlas ou en contactant l’équipe (add link). Les soumissions sont examinées afin de vérifier leur qualité, leur documentation et leurs conditions de licence. Lorsqu’un jeu de données est proposé pour intégration, fournir des métadonnées, les termes de licence et un cas d’usage clair aide l’équipe à évaluer s’il peut être intégré dans les futures versions."
User support & training,Support utilisateur & formation,How can I get in touch with the Atlas team? ,Comment puis-je contacter l’équipe de l’Atlas ?,"You can reach the Atlas team via email or by submitting a request on the site’s Get In Touch page (add link). In addition, you might want to consider subscribing to the Atlas Newsletter (add link) to stay up-to-date on recent updates, fixes, and other news around the tool. ","Vous pouvez contacter l’équipe de l’Atlas par email ou via la page Get In Touch du site (add link). Vous pouvez également vous abonner à la Atlas Newsletter (add link) pour rester informé des mises à jour, correctifs et autres actualités autour de l’outil."
Access & permissions,Accès & permissions,"Are there different user roles or access levels (public vs private datasets), and how are private datasets handled or shared? ","Existe-t-il différents rôles d’utilisateurs ou niveaux d’accès (données publiques vs privées), et comment les jeux de données privés sont-ils gérés ou partagés ?","The Atlas is designed primarily around open, publicly accessible datasets, and all layers published through the STAC catalog or notebooks are available to all users. ","L’Atlas est principalement conçu autour de jeux de données ouverts et accessibles au public, et toutes les couches publiées via le catalogue STAC ou les notebooks sont disponibles pour tous les utilisateurs."
