edition,page,table,county_rows,status,reason
2025,128,Table 6.3 Macadamia,15,SERVED,macadamia area+prod+value 2023-24
2025,129,Table 6.4 Groundnut,20,SERVED,"2024 column served (masked the double-counted 2023 block; 2023 from 2024 edition)"
2025,131,Table 6.5 Bambara,6,SERVED,bambara area+prod+value 2023-24
2025,132,Table 6.6 Sesame,8,SERVED,"y-range isolated from the Canola table on the same page (8 sesame counties, 2023-24)"
2025,134,Table 6.8 Sunflower,33,SERVED,"2024 column served (masked double-counted 2023; sunflower now 33 cty 2023-24)"
2025,135,Table 6.8 Sunflower,33,SERVED,"2024 column served (masked double-counted 2023; sunflower now 33 cty 2023-24)"
2025,139-166,Figures / Table 7.x livestock,4-15,excluded,"2025 presents these as CHARTS (nc=1, single value per county), not multi-column tables; 2025 livestock is chart-only (2024-edition annex tables serve 2021-23)"
2025,181,Table 8.7 Fish,5,out-of-scope,fisheries (not crops/livestock)
2025,186-200,Annex 1-10 food annexes,12-39,SERVED,maize/millet/sorghum/beans/cowpeas/greengrams/pigeon/irish/sweet/cassava 2020-24
2025,133,Table 6.7 Canola,12,SERVED,"NEW crop; y-range isolated from Sesame table on p133 (12 counties, 2023-24, value)"
2024,75/2025,92,Tea area,14,SERVED,area_ha added to Tea (green leaf)
2024,64/2025,118,Pyrethrum area,18,SERVED,area_ha added to Pyrethrum
2025,122,Table 5.7.1 Bixa,8,SERVED,"area only (acres->ha), 2022-24; new crop"
